kc,kf,K,l,n_sim,C0av,C0bav,F0av,Cav,Cbav,Fav,r,ER,std,mean
0.01,0.0,0.0,0.2,11.0,0.344406779661017,0.02394432374125728,0.08328024464672994,0.26031746031746034,0.017882793317140447,0.07915811868308463,36,20.30292923156804,1.5811867952431014,0.33838215385946735
0.01,0.0,0.0,0.2,12.0,0.3882485875706215,0.02842041711909518,0.09470139123053312,0.34545454545454546,0.027659999442132224,0.09939006887701433,33,20.066460757294553,1.565461997963446,0.334441012621576
0.01,0.0,0.0,0.2,13.0,0.3715254237288136,0.025977366742177627,0.09033834496648502,0.5182266009852217,0.04199091332749725,0.14437927218984323,29,20.479589284586847,1.5721671434367726,0.3413264880764474
0.01,0.0,0.0,0.2,14.0,0.38689265536723166,0.03054728135027472,0.09648890331066357,0.3123809523809524,0.02470933861635091,0.09017801378970311,36,19.973739408796927,1.5452727629020362,0.3328956568132822
0.01,0.0,0.0,0.2,15.0,0.2702824858757062,0.01757501310084623,0.07184931679642528,0.21818181818181817,0.014122685063477098,0.07053890744102714,33,7.722592375157935,0.0678884281099867,0.12870987291929892
0.01,0.0,0.0,0.2,16.0,0.3471186440677966,0.02500181878075732,0.08859697614686439,0.382174688057041,0.03193853408192847,0.10746085855343149,34,7.684383654694465,0.05903900416994256,0.12807306091157442
0.01,0.0,0.0,0.2,17.0,0.4117514124293785,0.030835293981559556,0.10596291691263471,0.3591591591591592,0.029204398116356275,0.10420114087933055,37,7.476236801020416,0.05508925595887764,0.1246039466836736
0.01,0.0,0.0,0.2,18.0,0.3588700564971752,0.02551167054796068,0.0881371246014003,0.2787096774193549,0.022548329008717907,0.08268769349393278,31,20.10190156427282,1.5592934971640393,0.3350316927378803
0.01,0.0,0.0,0.2,19.0,0.3715254237288136,0.02874093805282017,0.09739477079653583,0.41561561561561555,0.03554006011720804,0.11834634897582313,37,7.927334704060158,0.05271381242439046,0.13212224506766926
0.01,0.0,0.0,0.2,20.0,0.34305084745762715,0.02438881232615293,0.08634088192475342,0.3746288798920378,0.030344262521930843,0.1010992465603856,39,32.74245279002936,2.2573147096898016,0.5457075465004892
0.01,0.0,0.0,0.2,21.0,0.32994350282485874,0.02280395890731698,0.08555047077962662,0.37580645161290316,0.03127958050756715,0.11144346088949851,32,7.948148092193247,0.054143690743183016,0.1324691348698874
0.01,0.0,0.0,0.2,22.0,0.3358192090395481,0.02145222023353336,0.08477085499814338,0.37717717717717714,0.027727777125172003,0.10914963543896505,37,7.842787374996363,0.0666904148675969,0.13071312291660606
0.01,0.0,0.0,0.2,23.0,0.31728813559322033,0.021108310328839846,0.07873062394634943,0.19894179894179895,0.012519399906773747,0.0646571545968133,28,19.920131573887993,1.5691369005237972,0.33200219289813326
0.01,0.0,0.0,0.2,24.0,0.49627118644067797,0.04240225068585794,0.12696295500480026,0.4266666666666667,0.03542139658024166,0.1202998538224913,36,19.53038127607053,1.5554033529400373,0.32550635460117544
0.01,0.0,0.0,0.2,25.0,0.3529943502824858,0.024458076059411693,0.09276147626111744,0.39090909090909093,0.027732630742459536,0.12037984569140858,33,7.7312188335360625,0.04864785237203272,0.12885364722560108
0.01,0.0,0.0,0.2,26.0,0.30146892655367236,0.019955995924006778,0.08211683901278977,0.2857142857142857,0.02067069981053187,0.08851976162406253,36,7.845159632272797,0.04664116618238287,0.13075266053788
0.01,0.0,0.0,0.2,27.0,0.3665536723163842,0.028549993972211144,0.09440882713268721,0.42793650793650795,0.03673198215508554,0.12001694964159791,36,7.728669758984091,0.047566487876870234,0.12881116264973486
0.01,0.0,0.0,0.2,28.0,0.27299435028248586,0.017570143766682953,0.07064666690402886,0.4145161290322581,0.029752851965167148,0.11474208259893502,32,7.975290708639802,0.048243555407483645,0.1329215118106634
0.01,0.0,0.0,0.2,29.0,0.3887005649717514,0.02662211605193543,0.09009524199702329,0.3023172905525847,0.020513176630202894,0.08662035797737794,34,7.841350008039556,0.060181120440881655,0.13068916680065923
0.01,0.0,0.0,0.2,30.0,0.3159322033898305,0.019701509471571392,0.08214462308958198,0.28907563025210087,0.018881805153935553,0.08883778857115814,35,7.906259587834207,0.06431973006712466,0.1317709931305701
0.01,0.0,0.0,0.2,31.0,0.4,0.02871516326349834,0.09658106313022025,0.4060215053763441,0.029577630684065482,0.11778139916785131,31,7.8368830418744855,0.06407319109803755,0.13061471736457478
0.01,0.0,0.0,0.2,32.0,0.25175141242937854,0.01557002223680343,0.05983249603973907,0.32344086021505375,0.025140112881546096,0.09533631184499602,31,20.708063597155608,1.5820727965390355,0.34513439328592666
0.01,0.0,0.0,0.2,33.0,0.4424858757062147,0.036907934076557194,0.10767484545255007,0.5092063492063493,0.04880516562509009,0.14120050522116517,36,8.038854166759325,0.061539622338655044,0.13398090277932206
0.01,0.0,0.0,0.2,34.0,0.28836158192090394,0.018614099364429766,0.07167681864199286,0.21621621621621623,0.014771317204694176,0.06712104083643221,37,20.24558813477063,1.5648545657432291,0.33742646891284384
